&#160;	nbsp;	#160; ノーブレークスペース（前後で自動改行しないスペース）
&#161;	iexcl;	#161; 逆向きの感嘆符
&#162;	cent;	#162; セント（通貨）
&#163;	pound;	#163; ポンド（通貨）
&#164;	curren;	#164; 不特定通貨記号
&#165;	yen;	#165; 円（通貨）
&#166;	brvbar;	#166; 縦の破線
&#167;	sect;	#167; セクション（節）
&#168;	uml;	#168; ウムラウト（ドイツ語などの母音変異）
&#169;	copy;	#169; コピーライト（著作権）
&#170;	ordf;	#170; 女性形の序数標識（順序を表す約物）
&#171;	laquo;	#171; 左の二重山括弧（引用符）
&#172;	not;	#172; 否定記号（論理式の否定を表す記号）
うんこ	shy;	#173; ソフトハイフン（任意のハイフン）
&#174;	reg;	#174; 登録商標
&#175;	macr;	#175; マクロン（長音記号）
&#176;	deg;	#176; 度（角度・時間・温度など）
&#177;	plusmn;	#177; プラスマイナス
&#178;	sup2;	#178; 上付き数字の2
&#179;	sup3;	#179; 上付き数字の3
&#180;	acute;	#180; アキュート・アクセント（鋭アクセント）
&#181;	micro;	#181; マイクロ（1000分の1ミリ）
&#182;	para;	#182; 段落記号
&#183;	middot;	#183; 中黒（なかぐろ）
&#184;	cedil;	#184; セディーユ（Çやçなどの下ヒゲ）
&#185;	sup1;	#185; 上付き数字の1
&#186;	ordm;	#186; 男性形の序数標識（順序を表す約物）
&#187;	raquo;	#187; 右の二重山括弧（引用符）
&#188;	frac14;	#188; 4分の1
&#189;	frac12;	#189; 2分の1
&#190;	frac34;	#190; 4分の3
&#191;	iquest;	#191; 逆向きの疑問符
&#192;	Agrave;	#192; グレイヴ・アクセント付きのA
&#193;	Aacute;	#193; アキュート・アクセント付きのA
&#194;	Acirc;	#194; サーカムフレックス付きのA
&#195;	Atilde;	#195; チルダ付きのA
&#196;	Auml;	#196; ウムラウト付きのA
&#197;	Aring;	#197; リング符号付きのA
&#198;	AElig;	#198; AとEの合字
&#199;	Ccedil;	#199; セディーユ付きのC
&#200;	Egrave;	#200; グレイヴ・アクセント付きのE
&#201;	Eacute;	#201; アキュート・アクセント付きのE
&#202;	Ecirc;	#202; サーカムフレックス付きのE
&#203;	Euml;	#203; ウムラウト付きのE
&#204;	Igrave;	#204; グレイヴ・アクセント付きのI
&#205;	Iacute;	#205; アキュート・アクセント付きのI
&#206;	Icirc;	#206; サーカムフレックス付きのI
&#207;	Iuml;	#207; ウムラウト付きのI
&#208;	ETH;	#208; 大文字のエズ（アイスランド語などで使用する文字）
&#209;	Ntilde;	#209; チルダ付きのN
&#210;	Ograve;	#210; グレイヴ・アクセント付きのO
&#211;	Oacute;	#211; アキュート・アクセント付きのO
&#212;	Ocirc;	#212; サーカムフレックス付きのO
&#213;	Otilde;	#213; チルダ付きのO
&#214;	Ouml;	#214; ウムラウト付きのO
&#215;	times;	#215; 乗算記号
&#216;	Oslash;	#216; スラッシュ付きのO
&#217;	Ugrave;	#217; グレイヴ・アクセント付きのU
&#218;	Uacute;	#218; アキュート・アクセント付きのU
&#219;	Ucirc;	#219; サーカムフレックス付きのU
&#220;	Uuml;	#220; ウムラウト付きのU
&#221;	Yacute;	#221; アキュート・アクセント付きのY
&#222;	THORN;	#222; 大文字のソーン（アイスランド語などで使用する文字）
&#223;	szlig;	#223; 小文字のエスツェット（ドイツ語などで使用する文字）
&#224;	agrave;	#224; グレイヴ・アクセント付きのa
&#225;	aacute;	#225; アキュート・アクセント付きのa
&#226;	acirc;	#226; サーカムフレックス付きのa
&#227;	atilde;	#227; チルダ付きのa
&#228;	auml;	#228; ウムラウト付きのa
&#229;	aring;	#229; リング符号付きのa
&#230;	aelig;	#230; aとeの合字
&#231;	ccedil;	#231; セディーユ付きのc
&#232;	egrave;	#232; グレイヴ・アクセント付きのe
&#233;	eacute;	#233; アキュート・アクセント付きのe
&#234;	ecirc;	#234; サーカムフレックス付きのe
&#235;	euml;	#235; ウムラウト付きのe
&#236;	igrave;	#236; グレイヴ・アクセント付きのi
&#237;	iacute;	#237; アキュート・アクセント付きのi
&#238;	icirc;	#238; サーカムフレックス付きのi
&#239;	iuml;	#239; ウムラウト付きのi
&#240;	eth;	#240; 小文字のエズ（アイスランド語などで使用する文字）
&#241;	ntilde;	#241; チルダ付きのn
&#242;	ograve;	#242; グレイヴ・アクセント付きのo
&#243;	oacute;	#243; アキュート・アクセント付きのo
&#244;	ocirc;	#244; サーカムフレックス付きのo
&#245;	otilde;	#245; チルダ付きのo
&#246;	ouml;	#246; ウムラウト付きのo
&#247;	divide;	#247; 除算記号
&#248;	oslash;	#248; スラッシュ付きのo
&#249;	ugrave;	#249; グレイヴ・アクセント付きのu
&#250;	uacute;	#250; アキュート・アクセント付きのu
&#251;	ucirc;	#251; サーカムフレックス付きのu
&#252;	uuml;	#252; ウムラウト付きのu
&#253;	yacute;	#253; アキュート・アクセント付きのy
&#254;	thorn;	#254; 小文字のソーン（アイスランド語などで使用する文字）
&#255;	yuml;	#255; ウムラウト付きのy
&#402;	fnof;	#402; 関数記号
&#913;	Alpha;	#913; 大文字のアルファ（ギリシャ文字）
&#914;	Beta;	#914; 大文字のベータ（ギリシャ文字）
&#915;	Gamma;	#915; 大文字のガンマ（ギリシャ文字）
&#916;	Delta;	#916; 大文字のデルタ（ギリシャ文字）
&#917;	Epsilon;	#917; 大文字のエプシロン（ギリシャ文字）
&#918;	Zeta;	#918; 大文字のゼータ（ギリシャ文字）
&#919;	Eta;	#919; 大文字のエータ（ギリシャ文字）
&#920;	Theta;	#920; 大文字のシータ（ギリシャ文字）
&#921;	Iota;	#921; 大文字のイオタ（ギリシャ文字）
&#922;	Kappa;	#922; 大文字のカッパ（ギリシャ文字）
&#923;	Lambda;	#923; 大文字のラムダ（ギリシャ文字）
&#924;	Mu;	#924; 大文字のミュー（ギリシャ文字）
&#925;	Nu;	#925; 大文字のニュー（ギリシャ文字）
&#926;	Xi;	#926; 大文字のクシー（ギリシャ文字）
&#927;	Omicron;	#927; 大文字のオミクロン（ギリシャ文字）
&#928;	Pi;	#928; 大文字のパイ（ギリシャ文字）
&#929;	Rho;	#929; 大文字のロー（ギリシャ文字）
&#931;	Sigma;	#931; 大文字のシグマ（ギリシャ文字）
&#932;	Tau;	#932; 大文字のタウ（ギリシャ文字）
&#933;	Upsilon;	#933; 大文字のユプシロン（ギリシャ文字）
&#934;	Phi;	#934; 大文字のファイ（ギリシャ文字）
&#935;	Chi;	#935; 大文字のキー（ギリシャ文字）
&#936;	Psi;	#936; 大文字のプシー（ギリシャ文字）
&#937;	Omega;	#937; 大文字のオメガ（ギリシャ文字）
&#945;	alpha;	#945; 小文字のアルファ（ギリシャ文字）
&#946;	beta;	#946; 小文字のベータ（ギリシャ文字）
&#947;	gamma;	#947; 小文字のガンマ（ギリシャ文字）
&#948;	delta;	#948; 小文字のデルタ（ギリシャ文字）
&#949;	epsilon;	#949; 小文字のエプシロン（ギリシャ文字）
&#950;	zeta;	#950; 小文字のゼータ（ギリシャ文字）
&#951;	eta;	#951; 小文字のエータ（ギリシャ文字）
&#952;	theta;	#952; 小文字のシータ（ギリシャ文字）
&#953;	iota;	#953; 小文字のイオタ（ギリシャ文字）
&#954;	kappa;	#954; 小文字のカッパ（ギリシャ文字）
&#955;	lambda;	#955; 小文字のラムダ（ギリシャ文字）
&#956;	mu;	#956; 小文字のミュー（ギリシャ文字）
&#957;	nu;	#957; 小文字のニュー（ギリシャ文字）
&#958;	xi;	#958; 小文字のクシー（ギリシャ文字）
&#959;	omicron;	#959; 小文字のオミクロン（ギリシャ文字）
&#960;	pi;	#960; 小文字のパイ（ギリシャ文字）
&#961;	rho;	#961; 小文字のロー（ギリシャ文字）
&#962;	sigmaf;	#962; 小文字のシグマ（ギリシャ文字）
&#963;	sigma;	#963; 小文字のシグマ（ギリシャ文字）
&#964;	tau;	#964; 小文字のタウ（ギリシャ文字）
&#965;	upsilon;	#965; 小文字のユプシロン（ギリシャ文字）
&#966;	phi;	#966; 小文字のファイ（ギリシャ文字）
&#967;	chi;	#967; 小文字のキー（ギリシャ文字）
&#968;	psi;	#968; 小文字のプシー（ギリシャ文字）
&#969;	omega;	#969; 小文字のオメガ（ギリシャ文字）
&#977;	thetasym;	#977; シータ記号
&#978;	upsih;	#978; フック付きのユプシロン
&#982;	piv;	#982; パイ記号
&#8226;	bull;	#8226; リスト（箇条書きの一項目）の先頭
&#8230;	hellip;	#8230; 三点リーダ
&#8242;	prime;	#8242; プライム（ダッシュ）、分
&#8243;	Prime;	#8243; ダブルプライム（ダブルダッシュ）、秒
&#8254;	oline;	#8254; オーバーライン(強調のために引く上線）
&#8260;	frasl;	#8260; スラッシュ
&#8472;	weierp;	#8472; ヴァイエルシュトラスのP（ペー関数）
&#8465;	image;	#8465; ブラックレターのI（虚数など）
&#8476;	real;	#8476; ブラックレターのR（実数など）
&#8482;	trade;	#8482; 商品商標
