行番号	アクセス修飾子	クラス名	メソッド名	仮引数の変数名リスト	可変長引数があるか	型パラメータリスト	型パラメータ記号リスト	定数名	引数の個数	引数の型リスト	戻り値の型
00001-00001	public	org.chasen.mecab.Model	toString		false			N/A	0		java.lang.String
00001-00002	public	org.chasen.mecab.Model	swap	arg0	false			N/A	1	org.chasen.mecab.Model	boolean
00001-00003	public	org.chasen.mecab.Model	lookup	arg0,arg1,arg2	false			N/A	3	java.lang.String,org.chasen.mecab.Lattice	org.chasen.mecab.Node
00001-00004	public	org.chasen.mecab.Model	transition_cost	arg0,arg1	false			N/A	2	int	int
00001-00005	public	org.chasen.mecab.Model	version		false			N/A	0		java.lang.String
00001-00006	public	org.chasen.mecab.Model	delete		false			N/A	0		void
00001-00007	public	org.chasen.mecab.Model	hashCode		false			N/A	0		int
00001-00008	public	org.chasen.mecab.Model	equals	arg0	false			N/A	1	java.lang.Object	boolean
00001-00009	public	org.chasen.mecab.Model	dictionary_info		false			N/A	0		org.chasen.mecab.DictionaryInfo
00001-00010	public	org.chasen.mecab.Model	notify		false			N/A	0		void
00001-00011	public	org.chasen.mecab.Model	wait	arg0	false			N/A	1	long	void
00001-00012	public	org.chasen.mecab.Model	wait	arg0,arg1	false			N/A	2	int,long	void
00001-00013	public	org.chasen.mecab.Model	wait		false			N/A	0		void
00001-00014	public	org.chasen.mecab.Model	createLattice		false			N/A	0		org.chasen.mecab.Lattice
00001-00015	public	org.chasen.mecab.Model	getCPtr	arg0	false			N/A	1	org.chasen.mecab.Model	long
00001-00016	public	org.chasen.mecab.Model	getClass		false			N/A	0		java.lang.Class<?>
00001-00017	public	org.chasen.mecab.Model	notifyAll		false			N/A	0		void
00001-00018	public	org.chasen.mecab.Model	create	arg0	false			N/A	1	java.lang.String	org.chasen.mecab.Model
00001-00019	public	org.chasen.mecab.Model	create	arg0,arg1	false			N/A	2	int,org.chasen.mecab.SWIGTYPE_p_p_char	org.chasen.mecab.Model
00001-00020	public	org.chasen.mecab.Model	createTagger		false			N/A	0		org.chasen.mecab.Tagger
00002-00021	public	org.chasen.mecab.Node	toString		false			N/A	0		java.lang.String
00002-00022	public	org.chasen.mecab.Node	getCPtr	arg0	false			N/A	1	org.chasen.mecab.Node	long
00002-00023	public	org.chasen.mecab.Node	getCost		false			N/A	0		int
00002-00024	public	org.chasen.mecab.Node	getRpath		false			N/A	0		org.chasen.mecab.Path
00002-00025	public	org.chasen.mecab.Node	getLength		false			N/A	0		int
00002-00026	public	org.chasen.mecab.Node	equals	arg0	false			N/A	1	java.lang.Object	boolean
00002-00027	public	org.chasen.mecab.Node	getSurface		false			N/A	0		java.lang.String
00002-00028	public	org.chasen.mecab.Node	getPrev		false			N/A	0		org.chasen.mecab.Node
00002-00029	public	org.chasen.mecab.Node	getFeature		false			N/A	0		java.lang.String
00002-00030	public	org.chasen.mecab.Node	getBnext		false			N/A	0		org.chasen.mecab.Node
00002-00031	public	org.chasen.mecab.Node	getNext		false			N/A	0		org.chasen.mecab.Node
00002-00032	public	org.chasen.mecab.Node	getWcost		false			N/A	0		short
00002-00033	public	org.chasen.mecab.Node	getLpath		false			N/A	0		org.chasen.mecab.Path
00002-00034	public	org.chasen.mecab.Node	hashCode		false			N/A	0		int
00002-00035	public	org.chasen.mecab.Node	getChar_type		false			N/A	0		short
00002-00036	public	org.chasen.mecab.Node	setProb	arg0	false			N/A	1	float	void
00002-00037	public	org.chasen.mecab.Node	getBeta		false			N/A	0		float
00002-00038	public	org.chasen.mecab.Node	getPosid		false			N/A	0		int
00002-00039	public	org.chasen.mecab.Node	notify		false			N/A	0		void
00002-00040	public	org.chasen.mecab.Node	getEnext		false			N/A	0		org.chasen.mecab.Node
00002-00041	public	org.chasen.mecab.Node	getIsbest		false			N/A	0		short
00002-00042	public	org.chasen.mecab.Node	getRlength		false			N/A	0		int
00002-00043	public	org.chasen.mecab.Node	wait	arg0	false			N/A	1	long	void
00002-00044	public	org.chasen.mecab.Node	wait	arg0,arg1	false			N/A	2	int,long	void
00002-00045	public	org.chasen.mecab.Node	wait		false			N/A	0		void
00002-00046	public	org.chasen.mecab.Node	delete		false			N/A	0		void
00002-00047	public	org.chasen.mecab.Node	getStat		false			N/A	0		short
00002-00048	public	org.chasen.mecab.Node	getAlpha		false			N/A	0		float
00002-00049	public	org.chasen.mecab.Node	getProb		false			N/A	0		float
00002-00050	public	org.chasen.mecab.Node	getClass		false			N/A	0		java.lang.Class<?>
00002-00051	public	org.chasen.mecab.Node	getRcAttr		false			N/A	0		int
00002-00052	public	org.chasen.mecab.Node	notifyAll		false			N/A	0		void
00002-00053	public	org.chasen.mecab.Node	getLcAttr		false			N/A	0		int
00002-00054	public	org.chasen.mecab.Node	getId		false			N/A	0		long
00003-00055	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_UNK_DIC	N/A	N/A	N/A
00003-00056	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_ALLOCATE_SENTENCE	N/A	N/A	N/A
00003-00057	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_EOS_NODE	N/A	N/A	N/A
00003-00058	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_USR_DIC	N/A	N/A	N/A
00003-00059	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_UNK_NODE	N/A	N/A	N/A
00003-00060	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_TOKEN_BOUNDARY	N/A	N/A	N/A
00003-00061	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_PARTIAL	N/A	N/A	N/A
00003-00062	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_ALTERNATIVE	N/A	N/A	N/A
00003-00063	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_BOS_NODE	N/A	N/A	N/A
00003-00064	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_INSIDE_TOKEN	N/A	N/A	N/A
00003-00065	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_ONE_BEST	N/A	N/A	N/A
00003-00066	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_EON_NODE	N/A	N/A	N/A
00003-00067	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_NBEST	N/A	N/A	N/A
00003-00068	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_ANY_BOUNDARY	N/A	N/A	N/A
00003-00069	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_NOR_NODE	N/A	N/A	N/A
00003-00070	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_MARGINAL_PROB	N/A	N/A	N/A
00003-00071	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_ALL_MORPHS	N/A	N/A	N/A
00003-00072	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	MECAB_SYS_DIC	N/A	N/A	N/A
00003-00073	N/A	org.chasen.mecab.MeCab	N/A	N/A	N/A	N/A	N/A	VERSION	N/A	N/A	N/A
00003-00074	public	org.chasen.mecab.MeCab	toString		false			N/A	0		java.lang.String
00003-00075	public	org.chasen.mecab.MeCab	notify		false			N/A	0		void
