WebServer	Mine	Extension
nginx	text/html	html,htm,shtml
nginx	text/css	css
nginx	text/xml	xml
nginx	image/gif	gif
nginx	image/jpeg	jpeg,jpg
nginx	application/javascript	js
nginx	application/atom+xml	atom
nginx	application/rss+xml	rss
nginx	text/mathml	mml
nginx	text/plain	txt
nginx	text/vnd.sun.j2me.app-descriptor	jad
nginx	text/vnd.wap.wml	wml
nginx	text/x-component	htc
nginx	image/png	png
nginx	image/tiff	tif,tiff
nginx	image/vnd.wap.wbmp	wbmp
nginx	image/x-icon	ico
nginx	image/x-jng	jng
nginx	image/x-ms-bmp	bmp
nginx	image/svg+xml	svg,svgz
nginx	image/webp	webp
nginx	application/font-woff	woff
nginx	application/java-archive	jar,war,ear
nginx	application/json	json
nginx	application/mac-binhex40	hqx
nginx	application/msword	doc
nginx	application/pdf	pdf
nginx	application/postscript	ps,eps,ai
nginx	application/rtf	rtf
nginx	application/vnd.apple.mpegurl	m3u8
nginx	application/vnd.ms-excel	xls
nginx	application/vnd.ms-fontobject	eot
nginx	application/vnd.ms-powerpoint	ppt
nginx	application/vnd.wap.wmlc	wmlc
nginx	application/vnd.google-earth.kml+xml	kml
nginx	application/vnd.google-earth.kmz	kmz
nginx	application/x-7z-compressed	7z
nginx	application/x-cocoa	cco
nginx	application/x-java-archive-diff	jardiff
nginx	application/x-java-jnlp-file	jnlp
nginx	application/x-makeself	run
nginx	application/x-perl	pl,pm
nginx	application/x-pilot	prc,pdb
nginx	application/x-rar-compressed	rar
nginx	application/x-redhat-package-manager	rpm
nginx	application/x-sea	sea
nginx	application/x-shockwave-flash	swf
nginx	application/x-stuffit	sit
nginx	application/x-tcl	tcl,tk
nginx	application/x-x509-ca-cert	der,pem,crt
nginx	application/x-xpinstall	xpi
nginx	application/xhtml+xml	xhtml
nginx	application/xspf+xml	xspf
nginx	application/zip	zip
nginx	application/octet-stream	bin,exe,dll
nginx	application/octet-stream	deb
nginx	application/octet-stream	dmg
nginx	application/octet-stream	iso,img
nginx	application/octet-stream	msi,msp,msm
nginx	application/vnd.openxmlformats-officedocument.wordprocessingml.document	docx
nginx	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	xlsx
nginx	application/vnd.openxmlformats-officedocument.presentationml.presentation	pptx
nginx	audio/midi	mid,midi,kar
nginx	audio/mpeg	mp3
nginx	audio/ogg	ogg
nginx	audio/x-m4a	m4a
nginx	audio/x-realaudio	ra
nginx	video/3gpp	3gpp,3gp
nginx	video/mp2t	ts
nginx	video/mp4	mp4
nginx	video/mpeg	mpeg,mpg
nginx	video/quicktime	mov
nginx	video/webm	webm
nginx	video/x-flv	flv
nginx	video/x-m4v	m4v
nginx	video/x-mng	mng
nginx	video/x-ms-asf	asx,asf
nginx	video/x-ms-wmv	wmv
nginx	video/x-msvideo	avi
