grp	subgrp	label	value
0	0	01-title	bashコーディング規約
0	0	02-titleUrlName	https://qiita.com/mashumashu/items/f5b5ff62fef8af0859c5
0	0	03-tag	Bash
0	0	04-tagUrlName	https://qiita.com/tags/bash
0	1	03-tag	shell
0	1	04-tagUrlName	https://qiita.com/tags/shell
0	2	03-tag	コーディング規約
0	2	04-tagUrlName	https://qiita.com/tags/%e3%82%b3%e3%83%bc%e3%83%87%e3%82%a3%e3%83%b3%e3%82%b0%e8%a6%8f%e7%b4%84
1	0	01-title	今さらですがyum(^^;)
1	0	02-titleUrlName	https://qiita.com/hana_shin/items/380b0a37726c05b8623f
1	0	03-tag	Yum
1	0	04-tagUrlName	https://qiita.com/tags/yum
1	1	03-tag	centos7
1	1	04-tagUrlName	https://qiita.com/tags/centos7
1	2	03-tag	yum-config-manager
1	2	04-tagUrlName	https://qiita.com/tags/yum-config-manager
2	0	01-title	ラズパイでKubernetesクラスタを構築する
2	0	02-titleUrlName	https://qiita.com/sotoiwa/items/e350579d4c81c4a65260
2	0	03-tag	RaspberryPi
2	0	04-tagUrlName	https://qiita.com/tags/raspberrypi
2	1	03-tag	kubernetes
2	1	04-tagUrlName	https://qiita.com/tags/kubernetes
3	0	01-title	コマンドラインで繰り返し実行する際のメモ
3	0	02-titleUrlName	https://qiita.com/muramount/items/d9d4030fe12ce1978ac8
3	0	03-tag	shell
3	0	04-tagUrlName	https://qiita.com/tags/shell
4	0	01-title	Linuxコマンドのソースコードを取得する方法：オリジナルコマンド作成前の勉強向け
4	0	02-titleUrlName	https://qiita.com/Nao1215/items/770429ada9fb463ae2ef
4	0	03-tag	ShellScript
4	0	04-tagUrlName	https://qiita.com/tags/shellscript
4	1	03-tag	Bash
4	1	04-tagUrlName	https://qiita.com/tags/bash
4	2	03-tag	Linux
4	2	04-tagUrlName	https://qiita.com/tags/linux
4	3	03-tag	Debian
4	3	04-tagUrlName	https://qiita.com/tags/debian
4	4	03-tag	初心者
4	4	04-tagUrlName	https://qiita.com/tags/%e5%88%9d%e5%bf%83%e8%80%85
5	0	01-title	コンソール上の処理終了通知をslackに投稿する
5	0	02-titleUrlName	https://qiita.com/iganari/items/b78644cff91f0b6a53cd
5	0	03-tag	ShellScript
5	0	04-tagUrlName	https://qiita.com/tags/shellscript
5	1	03-tag	tips
5	1	04-tagUrlName	https://qiita.com/tags/tips
5	2	03-tag	Slack
5	2	04-tagUrlName	https://qiita.com/tags/slack
5	3	03-tag	Webhook
5	3	04-tagUrlName	https://qiita.com/tags/webhook
5	4	03-tag	クラウディア窓辺
5	4	04-tagUrlName	https://qiita.com/tags/%e3%82%af%e3%83%a9%e3%82%a6%e3%83%87%e3%82%a3%e3%82%a2%e7%aa%93%e8%be%ba
6	0	01-title	Jenkins + dockerでテストの並列化
6	0	02-titleUrlName	https://qiita.com/namutaka/items/b0892f315b9ab2ca52ef
6	0	03-tag	Jenkins
6	0	04-tagUrlName	https://qiita.com/tags/jenkins
6	1	03-tag	Docker
