grp	subgrp	label	value
0	0	name	Java
0	0	name	Linux
0	0	name	VSCode
0	0	title	Javaのソースで見つけた ...(点3つ) って何？から知る可変長引数
0	0	title	Linuxでのファイルの比較(commコマンドを図示化してみた話)
0	0	title	VSCodeでDraw.ioが使えるようになったらしい！
0	0	urlName	https://qiita.com/riku-shiru/items/5ab7c5aecdfea323ec4e
0	0	urlName	https://qiita.com/tags/java
0	0	urlName	https://qiita.com/tags/linux
0	0	urlName	https://qiita.com/tags/vscode
0	1	name	Draw.io
0	1	name	Linuxコマンド
0	1	urlName	https://qiita.com/tags/draw.io
0	1	urlName	https://qiita.com/tags/linux%e3%82%b3%e3%83%9e%e3%83%b3%e3%83%89
0	2	name	comm
0	2	urlName	https://qiita.com/tags/comm
1	0	name	Java
1	0	name	JavaScript
1	0	name	gradle
1	0	title	Gradle Shadow を使って fat JAR を作る手順
1	0	title	Java 8 Stream API にテキストを流してみて（中間操作編）
1	0	title	Nuxt.js と簡易 api サーバで簡単な Guestbook みたいの作ってみる
1	0	urlName	https://qiita.com/kmdsbng/items/ab093146a62afa34b739
1	0	urlName	https://qiita.com/tags/gradle
1	0	urlName	https://qiita.com/tags/java
1	0	urlName	https://qiita.com/tags/javascript
1	1	name	Vue.js
1	1	name	java8
1	1	urlName	https://qiita.com/tags/java8
1	1	urlName	https://qiita.com/tags/vue.js
1	2	name	Stream
1	2	name	nuxt.js
1	2	urlName	https://qiita.com/tags/nuxt.js
1	2	urlName	https://qiita.com/tags/stream
1	3	name	テキスト処理
1	3	urlName	https://qiita.com/tags/%e3%83%86%e3%82%ad%e3%82%b9%e3%83%88%e5%87%a6%e7%90%86
2	0	name	Java
2	0	name	JavaScript
2	0	name	Linux
2	0	title	Java 8 Stream API にテキストを流してみる（生成編）
2	0	title	Nuxt.jsでaxiosを使ってサクッと小さなアプリを作る
2	0	title	cron, at, batchでジョブスケジューリングしよう
2	0	urlName	https://qiita.com/pa_pa_paper/items/bf4b6a0e3485ddc838ce
2	0	urlName	https://qiita.com/tags/java
2	0	urlName	https://qiita.com/tags/javascript
2	0	urlName	https://qiita.com/tags/linux
2	1	name	Vue.js
2	1	name	テキスト
2	1	urlName	https://qiita.com/tags/%e3%83%86%e3%82%ad%e3%82%b9%e3%83%88
2	1	urlName	https://qiita.com/tags/vue.js
2	2	name	Stream
2	2	name	nuxt.js
2	2	urlName	https://qiita.com/tags/nuxt.js
2	2	urlName	https://qiita.com/tags/stream
3	0	name	Git
3	0	name	Java
3	0	name	Python
3	0	title	gitconfig の基本を理解する
3	0	title	java.util.function以下の関数インターフェース使い方メモ
3	0	title	高速なデスクトップ英語辞書ツールを作った物語（英語コピ郎君）
3	0	urlName	https://qiita.com/shionit/items/fb4a1a30538f8d335b35
3	0	urlName	https://qiita.com/tags/git
3	0	urlName	https://qiita.com/tags/java
3	0	urlName	https://qiita.com/tags/python
3	1	name	English
3	1	name	gitconfig
3	1	urlName	https://qiita.com/tags/english
