行番号	単語	ファイル名	開始列番号	文書
1 	 検索単語	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-man.md	 272	 16	 - 検索条件 検索単語 foundation 取得列を問わない
2 	 検索単語	 /home/aine/script-env/ubuntu-19-10-java-apache_solr-vim/md-man.md	 278	 16	 - 検索条件 検索単語 foundation 取得列 id
3 	 権限関連で	 /home/aine/script-env/centos-7-6-18-10-nginx-vim/md-man.md	 87	 1	 権限関連で、削除は出来ぬようになっている。
4 	 権限関連で	 /home/aine/script-env/ubuntu-18-04-nginx-jenkins-vim/md-man.md	 87	 1	 権限関連で、削除は出来ぬようになっている。
5 	 権限関連で	 /home/aine/script-env/ubuntu-18-04-nginx-vim/md-man.md	 87	 1	 権限関連で、削除は出来ぬようになっている。
6 	 個作成しました	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 18	 41	 [ $? -eq 0 ] && echo "pdbを${PDB_CNT}個作成しました。"
7 	 個作成します	 /home/aine/script-env/centos-7-6-18-10-oracle-dbeaver/init_db.sh	 15	 25	 echo "pdbを${PDB_CNT}個作成します。"
8 	 更新	 /home/aine/script-env/ubuntu-16-04-postgres-python-vim/md-man.md	 23	 34	 ライブラリキャッシュが更新されたか確認
9 	 更新	 /home/aine/script-env/md-todo.md	 273	 60	 - ファイルの詳細情報を取得するコマンド。更新頻度出すのに使えそう。
10 	 更新	 /home/aine/script-env/md-todo.md	 307	 18	 - プログラム更新頻度を調べたい。バージョン版数への関心を更新頻度に反比例させたい。メンテが大変になるので。
11 	 更新	 /home/aine/script-env/md-todo.md	 391	 70	 - 初回ログイン時にscript-repoを再クローンして差分更新を行えば、ディスクイメージは不用意に増やさずに、差分リフレッシュができる。💩
12 	 更新頻度出すのに使えそう	 /home/aine/script-env/md-todo.md	 273	 60	 - ファイルの詳細情報を取得するコマンド。更新頻度出すのに使えそう。
13 	 今日	 /home/aine/script-env/app-env-image-mkdtm-list.md	 1	 52	 |環境ディレクトリ名|イメージ作成日|今日|経過日数|
14 	 今日	 /home/aine/script-env/H05-作成済イメージの取得.sh	 10	 118	 done | xargs -n4 | sed -r 's/^/|/;s/$/|/;s/ {1,}/|/g'| sed '1i|環境ディレクトリ名|イメージ作成日|今日|経過日数|' | sed '2i|
15 	 差分リフレッシュができる	 /home/aine/script-env/md-todo.md	 391	 148	 - 初回ログイン時にscript-repoを再クローンして差分更新を行えば、ディスクイメージは不用意に増やさずに、差分リフレッシュができる。💩
16 	 最後に見つかったWORKDIR以外を削除	 /home/aine/script-env/PXX-Dockerfile.autoの作成.sh	 102	 6	 #最後に見つかったWORKDIR以外を削除
17 	 最後に見つかったWORKDIR以外を削除	 /home/aine/script-env/P07-Dockerfile.autoの作成-最後に見つかったWORKDIR以外を削除.sh	 20	 6	 #最後に見つかったWORKDIR以外を削除
18 	 作業スペース作成	 /home/aine/script-env/centos-7-6-18-10-apache_solr-dbeaver/md-dev.md	 56	 1	 作業スペース作成
19 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-mysql_workbench/md-man.md	 69	 22	 一般ユーザーの作成
20 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-mysql_workbench/md-man.md	 79	 19	 データベース作成
21 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-mysql_workbench/md-man.md	 164	 30	 # ユーザー定義関数の作成
22 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-mysql_workbench/md-man.md	 190	 42	 - ダイナミックリンクファイル作成されているか確認
23 	 作成	 /home/aine/script-env/ubuntu-19-10-mysql-mysql_workbench/md-doc.md	 9	 21	 # dockerイメージ作成
