type	name	mode	prot	user	group
link	/bin				
file	/bin/2csv	0755	-rwxr-xr-x	root	root
link	/bin/2html	0777	lrwxrwxrwx	root	root
file	/bin/2xml	0755	-rwxr-xr-x	root	root
file	/bin/411toppm	0755	-rwxr-xr-x	root	root
file	/bin/ExplicateUTF8	0755	-rwxr-xr-x	root	root
link	/bin/GET	0777	lrwxrwxrwx	root	root
link	/bin/HEAD	0777	lrwxrwxrwx	root	root
link	/bin/POST	0777	lrwxrwxrwx	root	root
link	/bin/X	0777	lrwxrwxrwx	root	root
link	/bin/X11	0777	lrwxrwxrwx	root	root
file	/bin/Xephyr	0755	-rwxr-xr-x	root	root
file	/bin/Xorg	0755	-rwxr-xr-x	root	root
file	/bin/Xwayland	0755	-rwxr-xr-x	root	root
file	/bin/[	0755	-rwxr-xr-x	root	root
file	/bin/aa-enabled	0755	-rwxr-xr-x	root	root
file	/bin/aa-exec	0755	-rwxr-xr-x	root	root
link	/bin/aclocal	0777	lrwxrwxrwx	root	root
file	/bin/aclocal-1.16	0755	-rwxr-xr-x	root	root
file	/bin/aconnect	0755	-rwxr-xr-x	root	root
file	/bin/acpi_listen	0755	-rwxr-xr-x	root	root
file	/bin/add-apt-repository	0755	-rwxr-xr-x	root	root
file	/bin/addpart	0755	-rwxr-xr-x	root	root
link	/bin/addr2line	0777	lrwxrwxrwx	root	root
file	/bin/afm2pl	0755	-rwxr-xr-x	root	root
file	/bin/afm2tfm	0755	-rwxr-xr-x	root	root
file	/bin/ag	0755	-rwxr-xr-x	root	root
file	/bin/aleph	0755	-rwxr-xr-x	root	root
link	/bin/allec	0777	lrwxrwxrwx	root	root
file	/bin/alsabat	0755	-rwxr-xr-x	root	root
file	/bin/alsaloop	0755	-rwxr-xr-x	root	root
file	/bin/alsamixer	0755	-rwxr-xr-x	root	root
file	/bin/alsatplg	0755	-rwxr-xr-x	root	root
file	/bin/alsaucm	0755	-rwxr-xr-x	root	root
file	/bin/amidi	0755	-rwxr-xr-x	root	root
file	/bin/amixer	0755	-rwxr-xr-x	root	root
file	/bin/amuFormat.sh	0755	-rwxr-xr-x	root	root
link	/bin/animate	0777	lrwxrwxrwx	root	root
link	/bin/animate-im6	0777	lrwxrwxrwx	root	root
file	/bin/animate-im6.q16	0755	-rwxr-xr-x	root	root
file	/bin/anytopnm	0755	-rwxr-xr-x	root	root
file	/bin/apg	0755	-rwxr-xr-x	root	root
file	/bin/apgbfm	0755	-rwxr-xr-x	root	root
file	/bin/aplay	0755	-rwxr-xr-x	root	root
file	/bin/aplaymidi	0755	-rwxr-xr-x	root	root
file	/bin/apport-bug	0755	-rwxr-xr-x	root	root
file	/bin/apport-cli	0755	-rwxr-xr-x	root	root
link	/bin/apport-collect	0777	lrwxrwxrwx	root	root
file	/bin/apport-unpack	0755	-rwxr-xr-x	root	root
file	/bin/appres	0755	-rwxr-xr-x	root	root
file	/bin/appstreamcli	0755	-rwxr-xr-x	root	root
link	/bin/apropos	0777	lrwxrwxrwx	root	root
file	/bin/apt	0755	-rwxr-xr-x	root	root
link	/bin/apt-add-repository	0777	lrwxrwxrwx	root	root
file	/bin/apt-cache	0755	-rwxr-xr-x	root	root
file	/bin/apt-cdrom	0755	-rwxr-xr-x	root	root
file	/bin/apt-config	0755	-rwxr-xr-x	root	root
file	/bin/apt-extracttemplates	0755	-rwxr-xr-x	root	root
file	/bin/apt-ftparchive	0755	-rwxr-xr-x	root	root
file	/bin/apt-get	0755	-rwxr-xr-x	root	root
file	/bin/apt-key	0755	-rwxr-xr-x	root	root
file	/bin/apt-mark	0755	-rwxr-xr-x	root	root
file	/bin/apt-sortpkgs	0755	-rwxr-xr-x	root	root
file	/bin/aptdcon	0755	-rwxr-xr-x	root	root
file	/bin/apturl	0755	-rwxr-xr-x	root	root
file	/bin/apturl-gtk	0755	-rwxr-xr-x	root	root
link	/bin/ar	0777	lrwxrwxrwx	root	root
file	/bin/arch	0755	-rwxr-xr-x	root	root
link	/bin/arecord	0777	lrwxrwxrwx	root	root
file	/bin/arecordmidi	0755	-rwxr-xr-x	root	root
file	/bin/args	0755	-rwxr-xr-x	root	root
file	/bin/arm2hpdl	0755	-rwxr-xr-x	root	root
link	/bin/as	0777	lrwxrwxrwx	root	root
file	/bin/ascii2binary	0755	-rwxr-xr-x	root	root
file	/bin/asciitopgm	0755	-rwxr-xr-x	root	root
file	/bin/aseqdump	0755	-rwxr-xr-x	root	root
file	/bin/aseqnet	0755	-rwxr-xr-x	root	root
file	/bin/aspell	0755	-rwxr-xr-x	root	root
file	/bin/aspell-import	0755	-rwxr-xr-x	root	root
file	/bin/atktopbm	0755	-rwxr-xr-x	root	root
file	/bin/atobm	0755	-rwxr-xr-x	root	root
file	/bin/aubrsync	0755	-rwxr-xr-x	root	root
file	/bin/aubusy	0755	-rwxr-xr-x	root	root
file	/bin/auchk	0755	-rwxr-xr-x	root	root
link	/bin/authorindex	0777	lrwxrwxrwx	root	root
file	/bin/autoconf	0755	-rwxr-xr-x	root	root
file	/bin/autoheader	0755	-rwxr-xr-x	root	root
file	/bin/autom4te	0755	-rwxr-xr-x	root	root
link	/bin/automake	0777	lrwxrwxrwx	root	root
file	/bin/automake-1.16	0755	-rwxr-xr-x	root	root
file	/bin/autopoint	0755	-rwxr-xr-x	root	root
file	/bin/autoreconf	0755	-rwxr-xr-x	root	root
file	/bin/autoscan	0755	-rwxr-xr-x	root	root
file	/bin/autosp	0755	-rwxr-xr-x	root	root
file	/bin/autoupdate	0755	-rwxr-xr-x	root	root
file	/bin/avahi-browse	0755	-rwxr-xr-x	root	root
link	/bin/avahi-browse-domains	0777	lrwxrwxrwx	root	root
file	/bin/avahi-publish	0755	-rwxr-xr-x	root	root
link	/bin/avahi-publish-address	0777	lrwxrwxrwx	root	root
link	/bin/avahi-publish-service	0777	lrwxrwxrwx	root	root
file	/bin/avahi-resolve	0755	-rwxr-xr-x	root	root
link	/bin/avahi-resolve-address	0777	lrwxrwxrwx	root	root
link	/bin/avahi-resolve-host-name	0777	lrwxrwxrwx	root	root
file	/bin/avahi-set-host-name	0755	-rwxr-xr-x	root	root
link	/bin/awk	0777	lrwxrwxrwx	root	root
file	/bin/axfer	0755	-rwxr-xr-x	root	root
file	/bin/axohelp	0755	-rwxr-xr-x	root	root
file	/bin/b2sum	0755	-rwxr-xr-x	root	root
file	/bin/baobab	0755	-rwxr-xr-x	root	root
file	/bin/base32	0755	-rwxr-xr-x	root	root
file	/bin/base64	0755	-rwxr-xr-x	root	root
file	/bin/basename	0755	-rwxr-xr-x	root	root
file	/bin/bash	0755	-rwxr-xr-x	root	root
file	/bin/bashbug	0755	-rwxr-xr-x	root	root
file	/bin/bc	0755	-rwxr-xr-x	root	root
file	/bin/bccmd	0755	-rwxr-xr-x	root	root
file	/bin/bdftopcf	0755	-rwxr-xr-x	root	root
file	/bin/bdftruncate	0755	-rwxr-xr-x	root	root
link	/bin/bibtex	0777	lrwxrwxrwx	root	root
file	/bin/bibtex.original	0755	-rwxr-xr-x	root	root
file	/bin/bibtex8	0755	-rwxr-xr-x	root	root
file	/bin/bibtexu	0755	-rwxr-xr-x	root	root
file	/bin/binary2ascii	0755	-rwxr-xr-x	root	root
file	/bin/bioradtopgm	0755	-rwxr-xr-x	root	root
file	/bin/bitmap	0755	-rwxr-xr-x	root	root
file	/bin/bluemoon	0755	-rwxr-xr-x	root	root
file	/bin/bluetooth-sendto	0755	-rwxr-xr-x	root	root
file	/bin/bluetoothctl	0755	-rwxr-xr-x	root	root
file	/bin/bmptopnm	0755	-rwxr-xr-x	root	root
link	/bin/bmptoppm	0777	lrwxrwxrwx	root	root
file	/bin/bmtoa	0755	-rwxr-xr-x	root	root
file	/bin/boltctl	0755	-rwxr-xr-x	root	root
file	/bin/bootctl	0755	-rwxr-xr-x	root	root
link	/bin/brave-browser	0777	lrwxrwxrwx	root	root
link	/bin/brave-browser-stable	0777	lrwxrwxrwx	root	root
file	/bin/brltty	0755	-rwxr-xr-x	root	root
file	/bin/brltty-ctb	0755	-rwxr-xr-x	root	root
file	/bin/brltty-trtxt	0755	-rwxr-xr-x	root	root
file	/bin/brltty-ttb	0755	-rwxr-xr-x	root	root
file	/bin/broadwayd	0755	-rwxr-xr-x	root	root
link	/bin/browse	0777	lrwxrwxrwx	root	root
file	/bin/brushtopbm	0755	-rwxr-xr-x	root	root
file	/bin/bsd-from	0755	-rwxr-xr-x	root	root
file	/bin/bsd-write	2755	-rwxr-sr-x	root	tty
file	/bin/btattach	0755	-rwxr-xr-x	root	root
file	/bin/btmgmt	0755	-rwxr-xr-x	root	root
file	/bin/btmon	0755	-rwxr-xr-x	root	root
file	/bin/bundle2.7	0755	-rwxr-xr-x	root	root
file	/bin/bundler2.7	0755	-rwxr-xr-x	root	root
file	/bin/bunzip2	0755	-rwxr-xr-x	root	root
file	/bin/busctl	0755	-rwxr-xr-x	root	root
file	/bin/busybox	0755	-rwxr-xr-x	root	root
file	/bin/bwrap	0755	-rwxr-xr-x	root	root
file	/bin/bzcat	0755	-rwxr-xr-x	root	root
link	/bin/bzcmp	0777	lrwxrwxrwx	root	root
file	/bin/bzdiff	0755	-rwxr-xr-x	root	root
link	/bin/bzegrep	0777	lrwxrwxrwx	root	root
file	/bin/bzexe	0755	-rwxr-xr-x	root	root
link	/bin/bzfgrep	0777	lrwxrwxrwx	root	root
file	/bin/bzgrep	0755	-rwxr-xr-x	root	root
file	/bin/bzip2	0755	-rwxr-xr-x	root	root
file	/bin/bzip2recover	0755	-rwxr-xr-x	root	root
link	/bin/bzless	0777	lrwxrwxrwx	root	root
file	/bin/bzmore	0755	-rwxr-xr-x	root	root
link	/bin/c++	0777	lrwxrwxrwx	root	root
link	/bin/c++filt	0777	lrwxrwxrwx	root	root
link	/bin/c89	0777	lrwxrwxrwx	root	root
file	/bin/c89-gcc	0755	-rwxr-xr-x	root	root
link	/bin/c99	0777	lrwxrwxrwx	root	root
file	/bin/c99-gcc	0755	-rwxr-xr-x	root	root
file	/bin/c_rehash	0755	-rwxr-xr-x	root	root
