type	name	mode	prot	user	group	size	last-modified	directories	files
directory	/etc								
file	/etc/.pwd.lock	0600	-rw-------	root	root	0	2020-05-05T13:31:00		
directory	/etc/ImageMagick-6	0755	drwxr-xr-x	root	root	4.0K	2020-08-15T13:33:20		
file	/etc/ImageMagick-6/coder.xml	0644	-rw-r--r--	root	root	899	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/colors.xml	0644	-rw-r--r--	root	root	1.4K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/delegates.xml	0644	-rw-r--r--	root	root	13K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/log.xml	0644	-rw-r--r--	root	root	1.6K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/magic.xml	0644	-rw-r--r--	root	root	888	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/mime.xml	0644	-rw-r--r--	root	root	131K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/policy.xml	0644	-rw-r--r--	root	root	4.5K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/quantization-table.xml	0644	-rw-r--r--	root	root	2.3K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/thresholds.xml	0644	-rw-r--r--	root	root	11K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type-apple.xml	0644	-rw-r--r--	root	root	29K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type-dejavu.xml	0644	-rw-r--r--	root	root	8.3K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type-ghostscript.xml	0644	-rw-r--r--	root	root	9.5K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type-urw-base35.xml	0644	-rw-r--r--	root	root	8.0K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type-windows.xml	0644	-rw-r--r--	root	root	13K	2020-03-24T23:05:04		
file	/etc/ImageMagick-6/type.xml	0644	-rw-r--r--	root	root	612	2020-03-24T23:05:04		
directory	/etc/NetworkManager	0755	drwxr-xr-x	root	root	4.0K	2020-08-14T22:05:15		
file	/etc/NetworkManager/NetworkManager.conf	0644	-rw-r--r--	root	root	98	2020-03-14T00:25:52		
directory	/etc/NetworkManager/conf.d	0755	drwxr-xr-x	root	root	4.0K	2020-08-14T22:05:15		
file	/etc/NetworkManager/conf.d/default-wifi-powersave-on.conf	0644	-rw-r--r--	root	root	32	2020-03-14T00:27:29		
directory	/etc/NetworkManager/dispatcher.d	0755	drwxr-xr-x	root	root	4.0K	2020-08-14T22:05:15		
file	/etc/NetworkManager/dispatcher.d/01-ifupdown	0755	-rwxr-xr-x	root	root	2.2K	2020-03-14T00:25:52		
directory	/etc/NetworkManager/dispatcher.d/no-wait.d	0755	drwxr-xr-x	root	root	4.0K	2020-03-14T00:27:29		
directory	/etc/NetworkManager/dispatcher.d/pre-down.d	0755	drwxr-xr-x	root	root	4.0K	2020-03-14T00:27:29		
directory	/etc/NetworkManager/dispatcher.d/pre-up.d	0755	drwxr-xr-x	root	root	4.0K	2020-03-14T00:27:29		
directory	/etc/NetworkManager/dnsmasq-shared.d	0755	drwxr-xr-x	root	root	4.0K	2020-03-14T00:27:29		
directory	/etc/NetworkManager/dnsmasq.d	0755	drwxr-xr-x	root	root	4.0K	2020-03-14T00:27:29		
directory	/etc/NetworkManager/system-connections	0755	drwxr-xr-x	root	root	4.0K	2020-08-14T22:40:27		
file	/etc/NetworkManager/system-connections/有線接続 1.nmconnection	0600	-rw-------	root	root	361	2020-08-14T22:40:27		
directory	/etc/PackageKit	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:51:42		
file	/etc/PackageKit/PackageKit.conf	0644	-rw-r--r--	root	root	706	2020-03-12T22:20:27		
file	/etc/PackageKit/Vendor.conf	0644	-rw-r--r--	root	root	1.7K	2020-03-12T22:20:27		
directory	/etc/UPower	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:48:26		
file	/etc/UPower/UPower.conf	0644	-rw-r--r--	root	root	2.8K	2019-12-10T20:30:49		
directory	/etc/X11	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:52:16		
file	/etc/X11/Xreset	0755	-rwxr-xr-x	root	root	709	2017-01-20T16:52:26		
directory	/etc/X11/Xreset.d	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:47:26		
file	/etc/X11/Xreset.d/README	0644	-rw-r--r--	root	root	205	2017-01-20T16:52:26		
directory	/etc/X11/Xresources	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:47:27		
file	/etc/X11/Xresources/x11-common	0644	-rw-r--r--	root	root	319	2017-01-20T16:52:26		
file	/etc/X11/Xsession	0755	-rwxr-xr-x	root	root	3.6K	2018-12-14T21:33:30		
directory	/etc/X11/Xsession.d	0755	drwxr-xr-x	root	root	4.0K	2020-08-14T22:05:16		
file	/etc/X11/Xsession.d/20dbus_xdg-runtime	0644	-rw-r--r--	root	root	1.0K	2019-09-30T16:47:02		
file	/etc/X11/Xsession.d/20x11-common_process-args	0644	-rw-r--r--	root	root	2.0K	2018-12-14T21:33:30		
file	/etc/X11/Xsession.d/30x11-common_xresources	0644	-rw-r--r--	root	root	878	2017-01-20T16:52:26		
file	/etc/X11/Xsession.d/35x11-common_xhost-local	0644	-rw-r--r--	root	root	389	2017-01-20T16:52:26		
file	/etc/X11/Xsession.d/40x11-common_xsessionrc	0644	-rw-r--r--	root	root	187	2017-01-20T16:52:26		
file	/etc/X11/Xsession.d/50x11-common_determine-startup	0644	-rw-r--r--	root	root	1.5K	2017-01-20T16:52:26		
file	/etc/X11/Xsession.d/55gnome-session_gnomerc	0644	-rw-r--r--	root	root	743	2020-03-26T21:22:56		
file	/etc/X11/Xsession.d/60x11-common_localhost	0644	-rw-r--r--	root	root	146	2018-12-14T21:33:30		
file	/etc/X11/Xsession.d/60x11-common_xdg_path	0644	-rw-r--r--	root	root	991	2019-03-12T21:56:41		
file	/etc/X11/Xsession.d/60xbrlapi	0644	-rw-r--r--	root	root	71	2020-03-04T05:32:07		
file	/etc/X11/Xsession.d/70im-config_launch	0644	-rw-r--r--	root	root	1.6K	2019-03-31T01:33:01		
file	/etc/X11/Xsession.d/75dbus_dbus-launch	0644	-rw-r--r--	root	root	752	2019-09-30T16:47:02		
file	/etc/X11/Xsession.d/90atk-adaptor	0644	-rw-r--r--	root	root	511	2019-12-04T07:25:06		
file	/etc/X11/Xsession.d/90gpg-agent	0644	-rw-r--r--	root	root	880	2020-03-10T06:13:02		
file	/etc/X11/Xsession.d/90qt-a11y	0644	-rw-r--r--	root	root	335	2020-03-09T00:14:03		
file	/etc/X11/Xsession.d/90x11-common_ssh-agent	0644	-rw-r--r--	root	root	629	2017-01-20T16:52:26		
file	/etc/X11/Xsession.d/95dbus_update-activation-env	0644	-rw-r--r--	root	root	513	2019-09-30T16:47:02		
file	/etc/X11/Xsession.d/99x11-common_start	0644	-rw-r--r--	root	root	166	2017-01-20T16:52:26		
file	/etc/X11/Xsession.options	0644	-rw-r--r--	root	root	265	2017-01-20T16:52:26		
file	/etc/X11/XvMCConfig	0644	-rw-r--r--	root	root	13	2020-02-29T20:13:46		
file	/etc/X11/Xwrapper.config	0644	-rw-r--r--	root	root	630	2020-05-06T04:50:46		
directory	/etc/X11/app-defaults	0755	drwxr-xr-x	root	root	4.0K	2020-05-06T04:50:40		
file	/etc/X11/app-defaults/Bitmap	0644	-rw-r--r--	root	root	6.4K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Bitmap-color	0644	-rw-r--r--	root	root	431	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Bitmap-nocase	0644	-rw-r--r--	root	root	6.4K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Clock-color	0644	-rw-r--r--	root	root	115	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Editres	0644	-rw-r--r--	root	root	9.6K	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Editres-color	0644	-rw-r--r--	root	root	2.7K	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Viewres	0644	-rw-r--r--	root	root	3.1K	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Viewres-color	0644	-rw-r--r--	root	root	973	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/XCalc	0644	-rw-r--r--	root	root	22K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XCalc-color	0644	-rw-r--r--	root	root	10K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XClipboard	0644	-rw-r--r--	root	root	4.0K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XClock	0644	-rw-r--r--	root	root	20	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XClock-color	0644	-rw-r--r--	root	root	245	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XConsole	0644	-rw-r--r--	root	root	615	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XFontSel	0644	-rw-r--r--	root	root	4.7K	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/XLoad	0644	-rw-r--r--	root	root	106	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XLogo	0644	-rw-r--r--	root	root	133	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XLogo-color	0644	-rw-r--r--	root	root	215	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XMore	0644	-rw-r--r--	root	root	1.1K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/XSm	0644	-rw-r--r--	root	root	3.8K	2020-02-29T15:08:03		
file	/etc/X11/app-defaults/Xditview	0644	-rw-r--r--	root	root	3.1K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xditview-chrtr	0644	-rw-r--r--	root	root	1.3K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xedit	0644	-rw-r--r--	root	root	15K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xedit-color	0644	-rw-r--r--	root	root	5.4K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xfd	0644	-rw-r--r--	root	root	754	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Xgc	0644	-rw-r--r--	root	root	65	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xgc-color	0644	-rw-r--r--	root	root	2.3K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xmag	0644	-rw-r--r--	root	root	730	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xman	0644	-rw-r--r--	root	root	6.0K	2020-02-29T08:10:29		
file	/etc/X11/app-defaults/Xmessage	0644	-rw-r--r--	root	root	248	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Xmessage-color	0644	-rw-r--r--	root	root	920	2020-02-29T15:29:50		
file	/etc/X11/app-defaults/Xvidtune	0644	-rw-r--r--	root	root	6.5K	2018-03-19T07:19:30		
